angle,ang_vel,ax,ay,az,gx,gy,gz,FSR_toe,FSR_heel,time_s,ang_acc,ang_acc_lpf,cycle_id,activity,terrain,speed_kmh,grade_deg,subject,session,src_file,phase_pct,phase01
-0.7542321955287236,-0.5980588012516839,-1.9562609141420901,-0.22638813616436615,1.478216963449189,1.0399202204174538,0.6454435470829925,-0.3709746541112649,1,124,409.789,8719.99999995267,1.7939902549753493,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.0,1
-0.7554348744627614,-0.5508947445244193,-2.0452846404422043,-0.044055368847097855,0.8844870660946612,1.055692823823399,0.6724722756963591,-0.12264665758492851,1,169,409.79,8804.999999957101,1.7895325492795093,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.14814814814814814,1
-0.7558357674407741,-0.5038911097588122,-2.0452846404422043,-0.044055368847097855,0.8844870660946612,1.055692823823399,0.6724722756963591,-0.12264665758492851,0,194,409.791,8780.000000207627,1.784302311303334,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.2962962962962963,1
-0.7562366604187867,-0.45699442296764325,-2.0452846404422043,-0.044055368847097855,0.8844870660946612,1.055692823823399,0.6724722756963591,-0.12264665758492851,0,199,409.792,8539.9999999723,1.7783015813597918,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.4444444444444444,1
-0.7562366604187867,-0.4125575395885539,-1.8078880369752335,-0.16561054705861006,0.9227922207626953,1.262368316728887,0.6521081650972472,-0.06016412942668904,0,207,409.793,8319.999999960848,1.771533018856228,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.5925925925925926,1
-0.7558357674407741,-0.36801370823502627,-1.8078880369752335,-0.16561054705861006,0.9227922207626953,1.262368316728887,0.6521081650972472,-0.06016412942668904,0,213,409.794,8129.999999972537,1.7639999016079102,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.7407407407407407,1
-0.7554348744627614,-0.32560883637026355,-1.8078880369752335,-0.16561054705861006,0.9227922207626953,1.262368316728887,0.6521081650972472,-0.06016412942668904,0,254,409.795,7959.999999963704,1.7557061243969003,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,0.8888888888888888,1
-0.7546330885067362,-0.28288312058218607,-2.4607286965094035,-0.3276841180072928,0.6355035607524397,0.8631582856956549,0.5606547956794177,0.03980791562649412,0,284,409.796,8229.999999947056,1.7466561967741467,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,1.037037037037037,1
-0.7534304095726981,-0.23759065340759078,-2.4607286965094035,-0.3276841180072928,0.6355035607524397,0.8631582856956549,0.5606547956794177,0.03980791562649412,0,315,409.797,8469.999999959557,1.736855240104091,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,1.1851851851851851,1
-0.7518268376606476,-0.19229818623299552,-2.4607286965094035,-0.3276841180072928,0.6355035607524397,0.8631582856956549,0.5606547956794177,0.03980791562649412,1,320,409.798,8685.000000205373,1.7263089838524406,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,1.3333333333333333,1
-0.7498223727705844,-0.144706337607978,-2.342030394775918,-0.3884617071130489,0.5014355194143205,1.0706496029152435,0.5741691599861011,0.11414610297373287,0,354,409.799,8349.999999991393,1.7150237611191115,21,walk,incline,4,3.5,MS,2025-10-28_MS_session1,SW_MS.csv,1.4814814814814814,1
