angle,ang_vel,ax,ay,az,gx,gy,gz,FSR_toe,FSR_heel,time_s,ang_acc,ang_acc_lpf,cycle_id,activity,terrain,speed_kmh,grade_deg,subject,session,src_file,phase_pct,phase01
-0.7373946904521925,1.0723081375119914,-1.1847219528744348,-0.8341640272219265,-2.2373830393501155,0.3759751994585734,0.855564142810192,1.0097290065751654,0,113,311.597,9959.999999975757,3.7232891301030455,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.0,1
-0.7253679011118133,1.1233757953062518,-1.1847219528744348,-0.8341640272219265,-2.2373830393501155,0.3759751994585734,0.855564142810192,1.0097290065751654,0,189,311.598,9174.999999934866,3.692542920597922,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.3067484662576687,1
-0.713341111771434,1.170432904059078,-1.1847219528744348,-0.8341640272219265,-2.2373830393501155,0.3759751994585734,0.855564142810192,1.0097290065751654,1,283,311.599,9104.999999939188,3.660688398043079,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.6134969325153374,1
-0.7009134294530421,1.2207519260322706,-1.1847219528744348,-0.5302760816931464,-2.352298503354217,0.29887980177606566,0.7641107733923624,1.1603279205975885,0,380,311.6,8729.999999919644,3.627747661711501,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.9202453987730062,1
-0.6884857471346503,1.2637984857436628,-1.1847219528744348,-0.5302760816931464,-2.352298503354217,0.29887980177606566,0.7641107733923624,1.1603279205975885,0,447,311.601,7965.000000188345,3.593743049206704,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.2269938650306749,1
-0.6760580648162583,1.30593598767233,-1.1847219528744348,-0.5302760816931464,-2.352298503354217,0.29887980177606566,0.7641107733923624,1.1603279205975885,0,497,311.602,8764.999999907857,3.558697107479271,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.5337423312883436,1
-0.6624277035638284,1.3575383853387815,-1.1550473774410634,-0.570794474430317,-2.2565356166841326,0.02585059799039452,0.6804327916578301,1.0978453924393492,0,547,311.603,8634.999999901062,3.5226325639191693,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.8404907975460123,1
-0.6491982352894113,1.3982855635997515,-1.1550473774410634,-0.570794474430317,-2.2565356166841326,0.02585059799039452,0.6804327916578301,1.0978453924393492,0,586,311.604,6920.0000000067375,3.485572297579641,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.147239263803681,1
-0.6359687670149942,1.4315463836500446,-1.1550473774410634,-0.570794474430317,-2.2565356166841326,0.02585059799039452,0.6804327916578301,1.0978453924393492,0,644,311.605,6119.99999996509,3.4475393105881746,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.4539877300613497,1
-0.6227392987405769,1.4637377239559555,-1.273745679174549,-0.8544232235905119,-2.3714510806882343,0.07398423252233056,0.44087679970100524,1.0350424410597854,0,681,311.606,6144.999999963591,3.4085566997997665,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.7607361963190185,1
-0.6095098304661597,1.497265913942344,-1.273745679174549,-0.8544232235905119,-2.3714510806882343,0.07398423252233056,0.44087679970100524,1.0350424410597854,1,715,311.607,6809.9999999981665,3.3686476287471905,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.067484662576687,1
-0.5950776832577046,1.536569294548398,-1.273745679174549,-0.8544232235905119,-2.3714510806882343,0.07398423252233056,0.44087679970100524,1.0350424410597854,0,753,311.608,5815.000000137516,3.3278352999423917,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.374233128834356,1
-0.5818482149832874,1.5594561610781814,-1.362769405474663,-1.2393479545936337,-1.8543314926697745,-0.09122019108304315,0.44772654599343376,0.961024676933871,0,796,311.609,4484.999999966938,3.28614292758233,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.6809815950920246,1
-0.5682178537308576,1.584535461083949,-1.362769405474663,-1.2393479545936337,-1.8543314926697745,-0.09122019108304315,0.44772654599343376,0.961024676933871,0,834,311.61,4669.999999976571,3.243593710711693,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.9877300613496933,1
-0.5545874924784278,1.6094008651408405,-1.362769405474663,-1.2393479545936337,-1.8543314926697745,-0.09122019108304315,0.44772654599343376,0.961024676933871,0,869,311.611,5164.999999946071,3.200210806893928,43,stair_ascent,stair,1,0,MS,2025-10-28_MS_session1,SW_MS.csv,4.294478527607362,1
