angle,ang_vel,ax,ay,az,gx,gy,gz,FSR_toe,FSR_heel,time_s,ang_acc,ang_acc_lpf,cycle_id,activity,terrain,speed_kmh,grade_deg,subject,session,src_file,phase_pct,phase01
-0.2855883042319449,-3.652813795131176,0.6847762994279616,0.2800917730502678,0.9802499527647462,1.4100325175810977,3.602497534352208,-0.8833313850088286,1,123,299.326,4445.000000022876,2.97135467584815,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.0,1
-0.3108445618467413,-3.6249003738027956,0.6847762994279616,0.2800917730502678,0.9802499527647462,1.4100325175810977,3.602497534352208,-0.8833313850088286,0,124,299.327,5390.000000127475,3.041837736925183,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,4.545454545454546,1
-0.3356999264835252,-3.595168836908964,0.5364034222611048,0.3408693621560239,0.9802499527647462,1.338783860816311,3.8703781528696153,-0.8580179505242085,0,128,299.328,4210.000000056636,3.111600658165957,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,9.090909090909092,1
-0.36175797005434696,-3.5798752765642954,0.5364034222611048,0.3408693621560239,0.9802499527647462,1.338783860816311,3.8703781528696153,-0.8580179505242085,0,129,299.329,4105.000000051223,3.1806095061213817,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,13.636363636363637,1
-0.3862124417131181,-3.5512666934020656,0.5364034222611048,0.3408693621560239,0.9802499527647462,1.338783860816311,3.8703781528696153,-0.8580179505242085,1,128,299.33,5829.999999944877,3.2488302897039305,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,18.181818181818183,1
-0.4102660203938766,-3.5175246074668007,1.0705457800617895,0.3408693621560239,1.0377076847667974,1.4158792584988187,4.23748752848815,-1.0829550518938706,0,132,299.331,5674.9999999367865,3.316228984990966,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,22.72727272727273,1
-0.43472049205264773,-3.4905737179083642,1.0705457800617895,0.3408693621560239,1.0377076847667974,1.4158792584988187,4.23748752848815,-1.0829550518938706,1,132,299.332,5104.999999971944,3.382771560330762,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,27.272727272727273,1
-0.4587740707334063,-3.4629276665160784,1.0705457800617895,0.3408693621560239,1.0377076847667974,1.4158792584988187,4.23748752848815,-1.0829550518938706,0,128,299.333,5334.999999983993,3.4484240017224956,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,31.81818181818182,1
-0.4824267564361522,-3.433516973545562,1.0705457800617895,-4.379523391724362,-0.5328036566225993,0.8631582856956549,3.41274104922412,-2.3678521694043337,0,126,299.334,6295.000000148895,3.5131523384402445,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,36.36363636363637,1
-0.5056785491608854,-3.395603916607205,1.0705457800617895,-4.379523391724362,-0.5328036566225993,0.8631582856956549,3.41274104922412,-2.3678521694043337,0,129,299.335,7589.999999935273,3.5769226688698925,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,40.909090909090914,1
-0.5277276629515807,-3.352343460946937,1.0705457800617895,-4.379523391724362,-0.5328036566225993,0.8631582856956549,3.41274104922412,-2.3678521694043337,0,131,299.336,8104.999999962165,3.6397011865266444,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,45.45454545454546,1
-0.5497767767422761,-3.3089225833250104,-2.579426998242889,-3.366563573295095,3.7956788208652505,0.9577939061313255,2.6024345756576417,-2.2153307160539644,0,129,299.337,8144.999999959662,3.701454206219771,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,50.00000000000001,1
-0.5710241045769461,-3.2652343357669884,-2.579426998242889,-3.366563573295095,3.7956788208652505,0.9577939061313255,2.6024345756576417,-2.2153307160539644,1,127,299.338,8504.999999978463,3.7621481903302367,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,54.54545454545455,1
-0.5918705394336035,-3.2179633310652864,-2.579426998242889,-3.366563573295095,3.7956788208652505,0.9577939061313255,2.6024345756576417,-2.2153307160539644,0,127,299.339,9250.000000218744,3.8217497751661296,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,59.09090909090909,1
-0.6123160813122482,-3.166307459411615,-3.7070608647110013,-3.4070819660322655,6.113140678281311,2.0333222935539643,3.680436539463354,-1.5562201497898691,0,127,299.34,10669.999999891617,3.880225797360239,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,63.63636363636364,1
-0.6311580512788424,-3.1038498423396823,-3.7070608647110013,-3.4070819660322655,6.113140678281311,2.0333222935539643,3.680436539463354,-1.5562201497898691,1,128,299.341,10884.999999902851,3.937543320273638,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,68.18181818181819,1
-0.6504009142234493,-3.0498945892355893,-3.7070608647110013,-3.4070819660322655,6.113140678281311,2.0333222935539643,3.680436539463354,-1.5562201497898691,1,127,299.342,10114.999999950232,3.993669660368845,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,72.72727272727273,1
-0.6692428841900434,-2.995671966195401,-1.4814677072081484,-2.191530183917145,0.08007881806594574,2.223409358739407,3.652297041180945,-1.5677553857575441,1,129,299.343,11014.999999997206,4.0485724135159655,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,77.27272727272728,1
-0.6868821752225995,-2.9320913953918666,-1.4814677072081484,-2.191530183917145,0.08007881806594574,2.223409358739407,3.652297041180945,-1.5677553857575441,1,125,299.344,11939.999999940104,4.10221948119525,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,81.81818181818183,1
-0.7041205732771433,-2.867976084716141,-1.4814677072081484,-2.191530183917145,0.08007881806594574,2.223409358739407,3.652297041180945,-1.5677553857575441,0,126,299.345,11494.999999916996,4.154579096559601,558,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,86.36363636363637,1
