angle,ang_vel,ax,ay,az,gx,gy,gz,FSR_toe,FSR_heel,time_s,ang_acc,ang_acc_lpf,cycle_id,activity,terrain,speed_kmh,grade_deg,subject,session,src_file,phase_pct,phase01
-0.8965492027232114,0.38399097402746896,-1.778213461541862,-0.9354600090648534,-2.026704688675928,0.9885232886291153,0.9053636496389292,1.3599515874826307,0,180,273.301,13349.999999893062,3.4507743280596426,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.0,1
-0.8881304501849461,0.45944276999364836,-1.778213461541862,-0.9354600090648534,-2.026704688675928,0.9885232886291153,0.9053636496389292,1.3599515874826307,0,225,273.302,13614.999999906853,3.4315362098195417,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.27100271002710025,1
-0.8793108046686678,0.5296006412251348,-1.778213461541862,-0.9354600090648534,-2.026704688675928,0.9885232886291153,0.9053636496389292,1.3599515874826307,3,305,273.303,13105.00000030989,3.4111882647876626,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.5420054200542005,1
-0.870090266174377,0.5995980904949638,-1.9859354895754615,-0.570794474430317,-2.2756881940181497,0.8390914684296868,0.8838887693707749,1.5826457263030225,0,397,273.304,11795.000000017295,3.3897454343919065,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.8130081300813008,1
-0.8612706206580989,0.6557457770750407,-1.9859354895754615,-0.570794474430317,-2.2756881940181497,0.8390914684296868,0.8838887693707749,1.5826457263030225,0,457,273.305,11254.999999989173,3.367223197932854,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.084010840108401,1
-0.8516491891857956,0.7199680357252047,-1.9859354895754615,-0.570794474430317,-2.2756881940181497,0.8390914684296868,0.8838887693707749,1.5826457263030225,1,486,273.306,11834.999999953456,3.343637553281719,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.3550135501355012,1
-0.8416268647354795,0.7823187048226996,-1.4517931317747772,-0.5302760816931464,-2.084162420677979,0.8083620859318972,0.9335031479213383,1.5826457263030225,0,534,273.307,11714.999999947162,3.3190049969488324,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.6260162601626016,1
-0.8312036473071508,0.8452575877796046,-1.4517931317747772,-0.5302760816931464,-2.084162420677979,0.8083620859318972,0.9335031479213383,1.5826457263030225,1,583,273.308,11394.999999966909,3.2933425035605395,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,1.8970189701897018,1
-0.8203795369008094,0.9041859216950757,-1.4517931317747772,-0.5302760816931464,-2.084162420677979,0.8083620859318972,0.9335031479213383,1.5826457263030225,1,616,273.309,10684.999999929918,3.266667504783546,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.168021680216802,1
-0.8091545335164554,0.9595314984668657,-1.6595151598083764,-0.46949849258739035,-2.2565356166841326,0.6490044032442445,0.6939471559645134,1.608279584008967,1,654,273.31,10145.000000239888,3.238997867736867,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.4390243902439024,1
-0.7983304231101142,1.0126846417626718,-1.6595151598083764,-0.46949849258739035,-2.2565356166841326,0.6490044032442445,0.6939471559645134,1.608279584008967,1,704,273.311,9664.999999969514,3.210351872932599,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.7100271002710024,1
-0.7867045267477475,1.0628967157614262,-1.6595151598083764,-0.46949849258739035,-2.2565356166841326,0.6490044032442445,0.6939471559645134,1.608279584008967,0,725,273.312,9339.999999952546,3.180748191787726,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.9810298102981028,1
-0.7750786303853809,1.1125740498879892,-1.778213461541862,-0.7733864381161706,-2.1033149980119963,0.4740100878696634,0.7154220362326676,1.619814819976642,0,750,273.313,9144.999999964595,3.1502058637500174,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.252032520325203,1
-0.7630518410450017,1.160700638385198,-1.778213461541862,-0.7733864381161706,-2.1033149980119963,0.4740100878696634,0.7154220362326676,1.619814819976642,0,769,273.314,9404.9999999781,3.118744273081768,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.523035230352303,1
-0.7506241587266098,1.2131586198471556,-1.778213461541862,-0.7733864381161706,-2.1033149980119963,0.4740100878696634,0.7154220362326676,1.619814819976642,0,796,273.315,9425.000000222863,3.0863831253456904,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,3.7940379403794036,1
-0.7377955834302052,1.2614991042932406,-2.1343083667423186,-1.1988295618564628,-1.7202634513316557,0.34035087107618,0.3494234302831757,1.7332446403254458,0,822,273.316,8270.000000004293,3.053142423637781,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,4.0650406504065035,1
-0.7253679011118133,1.3016045947075812,-2.1343083667423186,-1.1988295618564628,-1.7202634513316557,0.34035087107618,0.3494234302831757,1.7332446403254458,0,838,273.317,7444.999999961321,3.0190424446123907,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,4.336043360433604,1
-0.7125393258154087,1.3411218712625115,-2.1343083667423186,-1.1988295618564628,-1.7202634513316557,0.34035087107618,0.3494234302831757,1.7332446403254458,1,857,273.318,7339.999999967811,2.9841037143451836,417,run,level,9,0,MS,2025-10-28_MS_session1,SW_MS.csv,4.607046070460704,1
