angle,ang_vel,ax,ay,az,gx,gy,gz,FSR_toe,FSR_heel,time_s,ang_acc,ang_acc_lpf,cycle_id,activity,terrain,speed_kmh,grade_deg,subject,session,src_file,phase_pct,phase01
2.4569205583525395,-0.0921948821588014,-0.6802541705071216,-0.0643145652156832,1.7080478914573936,0.5627989673876133,0.1946561897299255,0.5502421071961119,0,731,601.413,135.00000000319233,-0.0363785944036063,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,0.0,1
2.4569205583525395,-0.0933178358904029,-0.561555868773636,-0.1048329579528539,1.7272004687914106,0.5470263639816682,0.1594818168769141,0.5012173543334933,1,732,601.414,10.000000000236469,-0.0330105273078849,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,2.127659574468085,1
2.4569205583525395,-0.0920879341843631,-0.561555868773636,-0.1048329579528539,1.7272004687914106,0.5470263639816682,0.1594818168769141,0.5012173543334933,1,736,601.415,539.9999999468309,-0.0297504293509282,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,4.25531914893617,1
2.4569205583525395,-0.0875426452707378,-0.561555868773636,-0.1048329579528539,1.7272004687914106,0.5470263639816682,0.1594818168769141,0.5012173543334933,0,741,601.416,809.9999999685642,-0.0266013720743232,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,6.382978723404255,1
2.4569205583525395,-0.0834251482548656,-0.5318812933402646,-0.0643145652156832,1.6122850047873083,0.4954934614743129,0.2081705540366088,0.051343151594169,0,741,601.417,835.0000000197451,-0.0235662809186928,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,8.51063829787234,1
2.4569205583525395,-0.0786124894051447,-0.5318812933402646,-0.0643145652156832,1.6122850047873083,0.4954934614743129,0.2081705540366088,0.051343151594169,0,737,601.418,750.0000000177351,-0.0206479331875147,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,10.638297872340424,1
2.4569205583525395,-0.0754040501719975,-0.5318812933402646,-0.0643145652156832,1.6122850047873083,0.4954934614743129,0.2081705540366088,0.051343151594169,0,741,601.419,675.0000000159616,-0.0178489561982509,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,12.76595744680851,1
2.4569205583525395,-0.0713935011305634,-0.4725321424735219,-0.1453513506900247,1.6122850047873083,0.5211919273684822,0.179845927476026,-0.0345302717207446,1,741,601.42,714.999999980243,-0.0151718256219633,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,14.893617021276595,1
2.4569205583525395,-0.0677572699996632,-0.4725321424735219,-0.1453513506900247,1.6122850047873083,0.5211919273684822,0.179845927476026,-0.0345302717207446,1,746,601.421,534.9999999657557,-0.0126188640122971,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,17.02127659574468,1
2.4569205583525395,-0.0656717844981175,-0.4725321424735219,-0.1453513506900247,1.6122850047873083,0.5211919273684822,0.179845927476026,-0.0345302717207446,1,751,601.422,590.0000000139516,-0.010192239524425,3,walk,level,3,0,MS,2025-10-28_MS_session1,SW_MS.csv,19.148936170212764,1
