phase_bin,mean,std,n_cycles
1,-0.22431668337980085,0.26648300651941775,288
2,-0.08984425236546721,0.3091150967927533,260
3,-0.1367823060360965,0.3659483848396476,264
4,-0.28096499913530965,0.23383480916620453,259
5,-0.19659269965056272,0.2732063094101703,261
6,-0.24620643830284708,0.27461442607421976,260
7,-0.22335631822383853,0.250107968917212,262
8,-0.15946537165145386,0.23627938780235663,260
9,-0.17055638633929054,0.23623741163200593,261
10,-0.1818354362089184,0.2509463432390301,260
11,-0.19164303150115158,0.2784278834818305,262
12,-0.17841144673583714,0.2860878590456592,260
13,-0.18624639174084323,0.2987453092176696,261
14,-0.17772664884122086,0.3301532946622405,260
15,-0.18306291238400643,0.3452110436966795,261
16,-0.20477616567856322,0.31469434061264306,260
17,-0.2207512982430464,0.3106514504197802,262
18,-0.162987811712438,0.3229458163197657,262
19,-0.14508461586451238,0.3441838283211193,260
20,-0.18673100341371313,0.32861243145857255,263
21,-0.23821712953232405,0.3436574484560776,260
22,-0.24691475978926314,0.3397190971569812,262
23,-0.24711950216233544,0.33239430068490733,260
24,-0.24289658181220183,0.3409359891172059,260
25,-0.25135175680843036,0.36752240989288326,269
26,-0.26515383539088794,0.38241480260472577,259
27,-0.25928139126032074,0.38515856283850425,263
28,-0.2608000366786558,0.36821597388204175,259
29,-0.2560555462086211,0.35161691117987504,261
30,-0.25670667268696307,0.3364760953633244,260
31,-0.2292459286151947,0.3113145470890657,262
32,-0.23650513479578336,0.3295015989119488,260
33,-0.24476278676165225,0.33053102451694194,262
34,-0.22641438515781193,0.3498261159196632,262
35,-0.22652764689610727,0.347715256825624,262
36,-0.23193981549834164,0.3438294926552678,260
37,-0.22890614340030876,0.320634943313357,262
38,-0.22218871652017647,0.2991382483853187,259
39,-0.21059694778280144,0.3027865278491047,260
40,-0.2005152010009509,0.29108787263217706,264
41,-0.22001401206157617,0.2752966740750594,261
42,-0.23195205964971408,0.2783904185783635,261
43,-0.23261491869946913,0.2960901840487593,259
44,-0.23898643810859138,0.31556583552942197,262
45,-0.2621951135396634,0.36048560620070474,261
46,-0.2527120183017016,0.3558694321940795,260
47,-0.27151816022754255,0.3448839699023504,261
48,-0.2503707616428411,0.3305609750359713,261
49,-0.2462351893594913,0.3149009564163255,262
50,-0.22427636466317943,0.29563243317121773,276
51,-0.17660098432817517,0.2850837544023061,255
52,-0.19798568884568896,0.28656223969281625,262
53,-0.18806552280189281,0.2827021375055882,261
54,-0.17953834595322288,0.28712136507238123,261
55,-0.1875420853307206,0.27577196474545185,260
56,-0.18942987109768,0.27223851012789396,261
57,-0.1899441054267219,0.2685725587903608,262
58,-0.22104298001695746,0.31983227308676265,259
59,-0.23126988550182048,0.33049113162791294,261
60,-0.28432989219647453,0.34627176920007974,263
61,-0.2516717527976662,0.31206663803707146,262
62,-0.2678917049656954,0.33470610518613614,260
63,-0.2921932168668557,0.36564022921350925,259
64,-0.2699068926632112,0.3997890976856643,262
65,-0.2895769716285437,0.41387753426259943,260
66,-0.32540514442791335,0.40850978119612635,262
67,-0.3490768477316333,0.37863810884957544,262
68,-0.3617621624207081,0.4450515373069699,262
69,-0.4018838263456107,0.5035176241320004,260
70,-0.4205450045959742,0.5620605133135697,262
71,-0.35600236740632113,0.479572692294575,260
72,-0.26503750582255337,0.457922747394446,261
73,-0.24613460943745297,0.3932197725764337,259
74,-0.2748520810314433,0.4335162109471575,263
75,-0.2532514783160622,0.3892953119719948,267
76,-0.2542364151475715,0.3979384229157521,261
77,-0.27120156145634067,0.4186152119803209,260
78,-0.2143633362031909,0.31587374416466846,260
79,-0.2240358886536104,0.30475189272788816,262
80,-0.20953838615181064,0.278923430652574,262
81,-0.24059293218969957,0.2991169373098053,261
82,-0.2246353046224348,0.287903238168143,260
83,-0.25801441014220355,0.2904731499503348,262
84,-0.25053913541471307,0.2542997395189426,262
85,-0.2379888635674519,0.2652931634277629,260
86,-0.25662402466519907,0.29110032467468266,261
87,-0.24769016707451563,0.2851384962965304,260
88,-0.23217945103234525,0.2768435790660979,261
89,-0.22737449620089983,0.2732205575316717,260
90,-0.211124050487945,0.2839904337731953,262
91,-0.19290633550521463,0.2623345946809027,260
92,-0.2023911799076583,0.27506886502504874,261
93,-0.19450419725931928,0.28546676120527237,260
94,-0.19787242710739367,0.29062182493468985,262
95,-0.2236081077805104,0.2848659309227178,260
96,-0.19261335045451677,0.29716818298837094,261
97,-0.23960391136910483,0.3284588096089935,259
98,-0.21321681851599242,0.35325796582716945,264
99,-0.21847212357088844,0.3435773981023075,260
100,-0.21978306768859135,0.3387405983128471,288
