phase_bin,mean,std,n_cycles
1,-0.15671360688516559,1.2323538283646367,204
2,-0.09672493237140567,1.136619973524879,193
3,-0.027632661942223573,1.071621166950037,193
4,0.12264939445977074,1.0288899831748426,192
5,0.16545146728702603,0.9645460992219207,191
6,0.28958999187533047,0.9305367105499196,193
7,0.34975101712698997,0.910319655868005,190
8,0.36482323745533257,0.8260769717782553,189
9,0.37729364156437634,0.8528672695418851,188
10,0.41379445272884746,0.889509567622067,194
11,0.3807211804300387,0.836148513580084,190
12,0.4084324451341384,0.8222148384928902,194
13,0.3618172816219656,0.7999394830566594,190
14,0.3319526653761998,0.7647252209138754,191
15,0.3137519119253357,0.6859482359087969,191
16,0.3007781324215292,0.69773953761213,190
17,0.27843021101428217,0.6303968952934446,189
18,0.25995109791396587,0.6573824332630431,192
19,0.29939428192070594,0.6801722449008198,190
20,0.2319029608421176,0.6331053980561093,194
21,0.2433022989904187,0.6218910050422686,193
22,0.24032061072498354,0.5791610187865243,184
23,0.19563447567241346,0.6361601809016554,195
24,0.1655095614801235,0.6333454816850552,193
25,0.10257585721552157,0.6410324637298077,191
26,0.09132303214768282,0.6416773280899082,189
27,0.04414148059218598,0.6464655281388236,187
28,0.03951930624604919,0.700471888162546,193
29,-0.002052578038895798,0.6200005775406073,191
30,-0.05293202050182605,0.6948937436502882,194
31,-0.0725023827602652,0.6694962083522803,190
32,-0.06852995496842204,0.7062923977227092,189
33,-0.13059366114773172,0.6476374526040513,192
34,-0.08022064921025028,0.6750474554676802,190
35,-0.11029861193597477,0.7070769361561702,192
36,-0.05492351306707422,0.6449539035493302,192
37,-0.07303739499571896,0.6841940182916574,186
38,-0.07850388759605025,0.7095159052835572,194
39,-0.054362863118601584,0.6587585964779737,194
40,-0.10023285171357285,0.6611371381066077,187
41,-0.06104242565613228,0.6788724860955666,194
42,-0.06683498444115236,0.6588806579183011,190
43,-0.04117984955831227,0.6364619028534679,189
44,-0.03836064913104656,0.7066751146048573,190
45,-0.0591476809900935,0.677821954489828,193
46,-0.0343022549431533,0.7180722418763862,190
47,-0.053451864377148044,0.7067375567831088,192
48,-0.06681651371935986,0.7000526278415031,194
49,-0.06645182567675834,0.7184711660210931,189
50,-0.08271743640360847,0.7388591746783,196
51,-0.05301510535927054,0.6707434951974498,183
52,-0.060366320639866765,0.7638299525096575,190
53,-0.09289752480951484,0.7307918575769169,193
54,-0.06279365854018837,0.7796858746724921,192
55,-0.06545287536293924,0.8259839370677425,192
56,-0.03693703614729279,0.7906794007804324,192
57,-0.05830793547509074,0.8180365894586769,189
58,-0.034589251366342985,0.7922694821651561,189
59,-0.061604384165008394,0.8277280466652264,190
60,-0.06318510837164863,0.8724460867981861,197
61,-0.07910131139700646,0.7991713007665404,184
62,-0.020673148614118002,0.8359367779476127,194
63,-0.05466027771761929,0.8779312964526655,194
64,-0.01766529800428869,0.8486024000050452,187
65,-0.06878214191014781,0.8269757946912094,193
66,-0.06813552809872898,0.8324552146127524,190
67,-0.06180026782345317,0.8209151288484673,190
68,-0.12236640191120232,0.7996203038219307,193
69,-0.08060667091787484,0.7736037713576757,188
70,-0.1291415081823125,0.7943617002029328,192
71,-0.14479963857526137,0.7869149916746333,192
72,-0.13612766180421051,0.7585250649146514,192
73,-0.1839102900190462,0.8265851795627955,192
74,-0.17726599072425359,0.7806327020306592,187
75,-0.20536115578416694,0.8709132590230426,199
76,-0.23611394868361657,0.8224760159505115,182
77,-0.20882554742860518,0.8311029965355942,192
78,-0.22728443360422557,0.8809491612586722,195
79,-0.18853233880698805,0.8245835772565311,184
80,-0.20844569341437755,0.8964936703897436,196
81,-0.2072767819932582,0.8421200939755275,191
82,-0.1429557681316468,0.9037985395666018,190
83,-0.17432062164441722,0.9063022739267155,192
84,-0.1336507314714438,0.8760086554976775,190
85,-0.12222374562031163,0.8580302258887251,191
86,-0.06388196204759815,0.8465621701871686,189
87,-0.043933348835207296,0.8504140856016936,191
88,-0.015139426513087318,0.9120826066632431,191
89,0.030345331164120106,0.8731278199758362,193
90,0.08196460251722303,0.8893300457264008,192
91,0.15572166300304643,0.9324515448455589,192
92,0.17348340859509276,0.9298352877587179,189
93,0.2505281505755082,0.9596325122930214,188
94,0.2713736311758487,1.0098828677430827,190
95,0.33303520026800554,1.0873457371079573,195
96,0.9521678489847548,1.2581734210963924,190
97,0.6138434487027299,1.193925584311914,191
98,-0.12908279011938215,1.5887975798142582,193
99,-0.31820310474135227,1.7950970066790064,193
100,-0.2211696831657191,1.7846062453391613,204
